customerid,revenue/income,list_of_posts
CUST001,3699.0,"['How AI is shaping the future of tech startups.', 'The rise of quantum computing and its impact on software development.', 'Cybersecurity trends to watch out for in 2025!', 'Join our webinar on AI ethics in tech—register now!']"
CUST002,6649.0,"['The importance of mental health in healthcare professions.', '5 quick exercises for healthcare professionals to stay active.', 'How telemedicine is reshaping patient care.', 'Debunking common myths about nutrition and healthcare.']"
CUST003,4898.0,"['Retail trends: The shift to e-commerce and personalization.', 'Retail automation: How AI-powered chatbots improve customer experience.', 'Behind the scenes: Setting up an online store from scratch.', 'Why subscription-based models are revolutionizing retail.']"
CUST004,9099.0,"['Innovations in sustainable manufacturing processes.', '3D printing in manufacturing—game changer or hype?', 'Sustainable packaging: The next frontier in eco-friendly manufacturing.', 'How automation is reducing waste in manufacturing plants.']"
CUST005,1199.0,"['Excited to share insights from our latest education reform project!', 'The impact of e-learning on student performance—real data inside!', 'Should coding be a mandatory subject in schools?', 'How AR and VR are transforming classroom experiences.']"
CUST006,4499.0,"['How small hospitality businesses can thrive post-pandemic.', 'The role of AI in enhancing customer experience in hospitality.', 'Sustainable tourism: How to travel without harming the environment.', 'A day in the life of a hotel manager—behind the scenes!']"
CUST007,2349.0,"['Investment strategies for 2025 – where to put your money?', 'How to identify promising startups before they go public.', 'Breaking down the latest market trends in global finance.', 'Are cryptocurrencies a safe investment in 2025?']"
CUST008,7999.0,"['Tech startups: When to seek funding and when to bootstrap.', 'The future of AI startups: Challenges and opportunities.', 'Why mentorship is crucial for tech entrepreneurs.', 'Behind the scenes of building a SaaS company!']"
CUST009,8659.0,"['Check out our latest construction project in downtown LA!', 'The impact of live music on mental health.', 'The best studio setup for indie artists in 2025.', 'Throwback to our first major concert production!']"
CUST010,13999.0,"['Transportation and logistics: The rise of electric trucks.', 'The rise of electric public transport—what’s next?', 'Self-driving trucks: Are they the future of logistics?', 'Why high-speed rail is a game changer for global transport.']"
CUST011,0.0,[]
CUST012,0.0,[]
CUST013,0.0,[]
CUST014,0.0,[]
CUST015,0.0,[]
CUST016,0.0,[]
CUST017,0.0,[]
CUST018,0.0,[]
CUST019,0.0,[]
CUST020,0.0,[]
CUST021,0.0,[]
CUST022,0.0,[]
CUST023,0.0,[]
CUST024,0.0,[]
CUST025,0.0,[]
CUST026,0.0,[]
CUST027,0.0,[]
IND001,5250.0,"['New JavaScript frameworks to watch in 2025!', 'Which programming languages will dominate in the next decade?', 'Frontend vs. Backend Development—Which career path is right for you?', 'How no-code and low-code platforms are changing the industry.']"
IND002,1879.0,"['5 quick home workouts to stay fit and healthy!', 'Easy meal prep ideas for busy professionals.', 'The science behind intermittent fasting—does it really work?', '5 tips for maintaining a healthy gut.']"
