customerid,month_start,preferences,type,revenue/income,list_of_posts
CUST001,2025-02-01,High risk,organization,0.0,[]
CUST001,2025-03-01,High risk,organization,3699.0,"['How AI is shaping the future of tech startups.', 'The rise of quantum computing and its impact on software development.', 'Cybersecurity trends to watch out for in 2025!', 'Join our webinar on AI ethics in tech—register now!']"
CUST001,2025-04-01,High risk,organization,0.0,[]
CUST001,2025-05-01,High risk,organization,0.0,[]
CUST001,2025-06-01,High risk,organization,0.0,[]
CUST001,2025-07-01,High risk,organization,0.0,[]
CUST001,2025-08-01,High risk,organization,0.0,[]
CUST001,2025-09-01,High risk,organization,0.0,[]
CUST001,2025-10-01,High risk,organization,0.0,[]
CUST002,2025-02-01,Low interest,organization,0.0,[]
CUST002,2025-03-01,Low interest,organization,6649.0,"['The importance of mental health in healthcare professions.', '5 quick exercises for healthcare professionals to stay active.', 'How telemedicine is reshaping patient care.', 'Debunking common myths about nutrition and healthcare.']"
CUST002,2025-04-01,Low interest,organization,0.0,[]
CUST002,2025-05-01,Low interest,organization,0.0,[]
CUST002,2025-06-01,Low interest,organization,0.0,[]
CUST002,2025-07-01,Low interest,organization,0.0,[]
CUST002,2025-08-01,Low interest,organization,0.0,[]
CUST002,2025-09-01,Low interest,organization,0.0,[]
CUST002,2025-10-01,Low interest,organization,0.0,[]
CUST003,2025-02-01,Flexible terms,organization,0.0,[]
CUST003,2025-03-01,Flexible terms,organization,4898.0,"['Retail trends: The shift to e-commerce and personalization.', 'Retail automation: How AI-powered chatbots improve customer experience.', 'Behind the scenes: Setting up an online store from scratch.', 'Why subscription-based models are revolutionizing retail.']"
CUST003,2025-04-01,Flexible terms,organization,0.0,[]
CUST003,2025-05-01,Flexible terms,organization,0.0,[]
CUST003,2025-06-01,Flexible terms,organization,0.0,[]
CUST003,2025-07-01,Flexible terms,organization,0.0,[]
CUST003,2025-08-01,Flexible terms,organization,0.0,[]
CUST003,2025-09-01,Flexible terms,organization,0.0,[]
CUST003,2025-10-01,Flexible terms,organization,0.0,[]
CUST004,2025-02-01,Long-term,organization,0.0,[]
CUST004,2025-03-01,Long-term,organization,7199.0,"['Innovations in sustainable manufacturing processes.', '3D printing in manufacturing—game changer or hype?', 'Sustainable packaging: The next frontier in eco-friendly manufacturing.']"
CUST004,2025-04-01,Long-term,organization,1900.0,['How automation is reducing waste in manufacturing plants.']
CUST004,2025-05-01,Long-term,organization,0.0,[]
CUST004,2025-06-01,Long-term,organization,0.0,[]
CUST004,2025-07-01,Long-term,organization,0.0,[]
CUST004,2025-08-01,Long-term,organization,0.0,[]
CUST004,2025-09-01,Long-term,organization,0.0,[]
CUST004,2025-10-01,Long-term,organization,0.0,[]
CUST005,2025-02-01,Government-backed,organization,0.0,[]
CUST005,2025-03-01,Government-backed,organization,0.0,['Excited to share insights from our latest education reform project!']
CUST005,2025-04-01,Government-backed,organization,1199.0,"['The impact of e-learning on student performance—real data inside!', 'Should coding be a mandatory subject in schools?', 'How AR and VR are transforming classroom experiences.']"
CUST005,2025-05-01,Government-backed,organization,0.0,[]
CUST005,2025-06-01,Government-backed,organization,0.0,[]
CUST005,2025-07-01,Government-backed,organization,0.0,[]
CUST005,2025-08-01,Government-backed,organization,0.0,[]
CUST005,2025-09-01,Government-backed,organization,0.0,[]
CUST005,2025-10-01,Government-backed,organization,0.0,[]
CUST006,2025-02-01,Short-term,organization,0.0,[]
CUST006,2025-03-01,Short-term,organization,0.0,['How small hospitality businesses can thrive post-pandemic.']
CUST006,2025-04-01,Short-term,organization,4499.0,"['The role of AI in enhancing customer experience in hospitality.', 'Sustainable tourism: How to travel without harming the environment.', 'A day in the life of a hotel manager—behind the scenes!']"
CUST006,2025-05-01,Short-term,organization,0.0,[]
CUST006,2025-06-01,Short-term,organization,0.0,[]
CUST006,2025-07-01,Short-term,organization,0.0,[]
CUST006,2025-08-01,Short-term,organization,0.0,[]
CUST006,2025-09-01,Short-term,organization,0.0,[]
CUST006,2025-10-01,Short-term,organization,0.0,[]
CUST007,2025-02-01,Moderate risk,organization,0.0,[]
CUST007,2025-03-01,Moderate risk,organization,0.0,['Investment strategies for 2025 – where to put your money?']
CUST007,2025-04-01,Moderate risk,organization,2349.0,"['How to identify promising startups before they go public.', 'Breaking down the latest market trends in global finance.', 'Are cryptocurrencies a safe investment in 2025?']"
CUST007,2025-05-01,Moderate risk,organization,0.0,[]
CUST007,2025-06-01,Moderate risk,organization,0.0,[]
CUST007,2025-07-01,Moderate risk,organization,0.0,[]
CUST007,2025-08-01,Moderate risk,organization,0.0,[]
CUST007,2025-09-01,Moderate risk,organization,0.0,[]
CUST007,2025-10-01,Moderate risk,organization,0.0,[]
CUST008,2025-02-01,Fixed rate,organization,0.0,[]
CUST008,2025-03-01,Fixed rate,organization,0.0,['Tech startups: When to seek funding and when to bootstrap.']
CUST008,2025-04-01,Fixed rate,organization,0.0,[]
CUST008,2025-05-01,Fixed rate,organization,0.0,"['The future of AI startups: Challenges and opportunities.', 'Why mentorship is crucial for tech entrepreneurs.', 'Behind the scenes of building a SaaS company!']"
CUST008,2025-06-01,Fixed rate,organization,0.0,[]
CUST008,2025-07-01,Fixed rate,organization,7999.0,[]
CUST008,2025-08-01,Fixed rate,organization,0.0,[]
CUST008,2025-09-01,Fixed rate,organization,0.0,[]
CUST008,2025-10-01,Fixed rate,organization,0.0,[]
